part_type	order_year	order_quarter	num_orders	price_stddev
ECONOMY ANODIZED NICKEL	1993	2	608	80915.3076
ECONOMY ANODIZED NICKEL	1993	3	650	86191.9327
ECONOMY ANODIZED NICKEL	1993	4	629	86730.085
ECONOMY ANODIZED NICKEL	1994	1	611	83624.4521
ECONOMY ANODIZED NICKEL	1994	2	551	83076.5105
ECONOMY ANODIZED NICKEL	1994	3	634	82120.5127
ECONOMY ANODIZED NICKEL	1994	4	618	84444.4291
ECONOMY ANODIZED NICKEL	1995	1	587	82512.4983
ECONOMY ANODIZED NICKEL	1995	2	585	80958.6847
ECONOMY ANODIZED NICKEL	1995	3	624	81141.6973
ECONOMY ANODIZED NICKEL	1995	4	592	79785.4642
ECONOMY ANODIZED NICKEL	1996	1	612	82933.1544
ECONOMY ANODIZED NICKEL	1996	2	611	83333.2321
ECONOMY ANODIZED NICKEL	1996	3	624	86410.2613
ECONOMY ANODIZED NICKEL	1996	4	636	83340.1973
ECONOMY ANODIZED NICKEL	1997	1	638	81807.2122
ECONOMY ANODIZED NICKEL	1997	2	615	81447.4381
ECONOMY ANODIZED NICKEL	1997	3	656	81422.185
ECONOMY ANODIZED NICKEL	1997	4	618	83919.6922
ECONOMY ANODIZED NICKEL	1998	1	563	83583.0317
ECONOMY ANODIZED NICKEL	1998	2	601	80831.6721
ECONOMY ANODIZED NICKEL	1998	3	236	83192.2334
ECONOMY ANODIZED STEEL	1992	1	616	81962.5631
ECONOMY ANODIZED STEEL	1992	2	562	83944.1426
ECONOMY ANODIZED STEEL	1992	3	622	82169.2693
ECONOMY ANODIZED STEEL	1992	4	612	83588.7241
ECONOMY ANODIZED STEEL	1993	1	645	82282.2006
ECONOMY ANODIZED STEEL	1993	2	611	86550.7337
ECONOMY ANODIZED STEEL	1993	3	588	81032.2901
ECONOMY ANODIZED STEEL	1993	4	585	82823.8948
ECONOMY ANODIZED STEEL	1994	1	620	85422.5864
ECONOMY ANODIZED STEEL	1994	2	595	84804.3639
ECONOMY ANODIZED STEEL	1994	3	624	81817.415
ECONOMY ANODIZED STEEL	1994	4	606	83260.4427
ECONOMY ANODIZED STEEL	1995	1	616	82307.4333
ECONOMY ANODIZED STEEL	1995	2	580	86665.205
ECONOMY ANODIZED STEEL	1995	3	670	85353.1446
ECONOMY ANODIZED STEEL	1995	4	665	85407.4823
ECONOMY ANODIZED STEEL	1996	1	586	83476.1365
ECONOMY ANODIZED STEEL	1996	2	601	83452.9148
ECONOMY ANODIZED STEEL	1996	3	631	84835.3996
ECONOMY ANODIZED STEEL	1996	4	639	85011.5248
ECONOMY ANODIZED STEEL	1997	1	610	83193.6435
ECONOMY ANODIZED STEEL	1997	2	601	83688.5764
ECONOMY ANODIZED STEEL	1997	3	621	81981.7074
ECONOMY ANODIZED STEEL	1997	4	593	83432.7177
ECONOMY ANODIZED STEEL	1998	1	599	80661.4156
ECONOMY ANODIZED STEEL	1998	2	610	82743.5404
ECONOMY ANODIZED STEEL	1998	3	229	83688.1464
ECONOMY ANODIZED TIN	1992	1	595	82221.6046
ECONOMY ANODIZED TIN	1992	2	594	85123.0368
ECONOMY ANODIZED TIN	1992	3	591	82840.5341
ECONOMY ANODIZED TIN	1992	4	619	80664.5609
ECONOMY ANODIZED TIN	1993	1	577	83170.5478
ECONOMY ANODIZED TIN	1993	2	614	84333.1911
ECONOMY ANODIZED TIN	1993	3	589	82965.3861
ECONOMY ANODIZED TIN	1993	4	599	83350.9479
ECONOMY ANODIZED TIN	1994	1	612	83521.2897
ECONOMY ANODIZED TIN	1994	2	592	88354.597
ECONOMY ANODIZED TIN	1994	3	620	81672.825
ECONOMY ANODIZED TIN	1994	4	642	83168.4436
ECONOMY ANODIZED TIN	1995	1	589	85051.2428
ECONOMY ANODIZED TIN	1995	2	597	81771.6303
ECONOMY ANODIZED TIN	1995	3	629	84312.1239
ECONOMY ANODIZED TIN	1995	4	579	86958.901
ECONOMY ANODIZED TIN	1996	1	580	83011.6389
ECONOMY ANODIZED TIN	1996	2	574	82112.4449
ECONOMY ANODIZED TIN	1996	3	590	85182.6826
ECONOMY ANODIZED TIN	1996	4	582	83241.1885
ECONOMY ANODIZED TIN	1997	1	597	79793.5715
ECONOMY ANODIZED TIN	1997	2	607	85440.4755
ECONOMY ANODIZED TIN	1997	3	600	77892.8025
ECONOMY ANODIZED TIN	1997	4	660	81823.5838
ECONOMY ANODIZED TIN	1998	1	559	82990.9728
ECONOMY ANODIZED TIN	1998	2	598	81593.3807
ECONOMY ANODIZED TIN	1998	3	224	85967.6673
ECONOMY BRUSHED BRASS	1992	1	593	84129.1861
ECONOMY BRUSHED BRASS	1992	2	608	83419.3305
ECONOMY BRUSHED BRASS	1992	3	614	83762.701
ECONOMY BRUSHED BRASS	1992	4	628	83391.9075
ECONOMY BRUSHED BRASS	1993	1	561	83180.8165
ECONOMY BRUSHED BRASS	1993	2	564	85293.694
ECONOMY BRUSHED BRASS	1993	3	591	82472.5348
ECONOMY BRUSHED BRASS	1993	4	544	80554.0917
ECONOMY BRUSHED BRASS	1994	1	570	83475.6772
ECONOMY BRUSHED BRASS	1994	2	612	85534.8951
ECONOMY BRUSHED BRASS	1994	3	619	85032.6316
ECONOMY BRUSHED BRASS	1994	4	612	86063.0493
ECONOMY BRUSHED BRASS	1995	1	623	84959.9414
ECONOMY BRUSHED BRASS	1995	2	600	82281.462
ECONOMY BRUSHED BRASS	1995	3	608	84261.2831
ECONOMY BRUSHED BRASS	1995	4	587	82815.9226
ECONOMY BRUSHED BRASS	1996	1	603	84160.5573
ECONOMY BRUSHED BRASS	1996	2	558	83261.6613
ECONOMY BRUSHED BRASS	1996	3	602	81255.3139
ECONOMY BRUSHED BRASS	1996	4	605	80091.4469
ECONOMY BRUSHED BRASS	1997	1	559	86387.2054
ECONOMY BRUSHED BRASS	1997	2	585	85061.0861
ECONOMY BRUSHED BRASS	1997	3	601	86572.1306
ECONOMY BRUSHED BRASS	1997	4	649	82114.8982
ECONOMY BRUSHED BRASS	1998	1	558	84342.774
ECONOMY BRUSHED BRASS	1998	2	616	84643.6877
ECONOMY BRUSHED BRASS	1998	3	242	84074.4632
ECONOMY BRUSHED COPPER	1992	1	665	78917.2
ECONOMY BRUSHED COPPER	1992	2	607	81582.4792
ECONOMY BRUSHED COPPER	1992	3	647	80171.9392
ECONOMY BRUSHED COPPER	1992	4	657	82871.1655
ECONOMY BRUSHED COPPER	1993	1	640	82901.1654
ECONOMY BRUSHED COPPER	1993	2	611	84285.1739
ECONOMY BRUSHED COPPER	1993	3	630	83724.6187
ECONOMY BRUSHED COPPER	1993	4	645	86706.895
ECONOMY BRUSHED COPPER	1994	1	612	82168.4618
ECONOMY BRUSHED COPPER	1994	2	632	77935.2093
ECONOMY BRUSHED COPPER	1994	3	670	82554.6839
ECONOMY BRUSHED COPPER	1994	4	625	80402.3209
ECONOMY BRUSHED COPPER	1995	1	581	79343.8326
ECONOMY BRUSHED COPPER	1995	2	635	81288.2471
ECONOMY BRUSHED COPPER	1995	3	674	82925.0255
ECONOMY BRUSHED COPPER	1995	4	636	82091.4636
ECONOMY BRUSHED COPPER	1996	1	607	80728.8893
ECONOMY BRUSHED COPPER	1996	2	594	78392.5057
ECONOMY BRUSHED COPPER	1996	3	665	83817.3765
ECONOMY BRUSHED COPPER	1996	4	606	82833.8099
ECONOMY BRUSHED COPPER	1997	1	612	86437.5869
ECONOMY BRUSHED COPPER	1997	2	595	81824.486
ECONOMY BRUSHED COPPER	1997	3	619	85531.0888
ECONOMY BRUSHED COPPER	1997	4	619	84913.6494
ECONOMY BRUSHED COPPER	1998	1	605	81330.2795
ECONOMY BRUSHED COPPER	1998	2	623	82158.5049
ECONOMY BRUSHED COPPER	1998	3	215	83303.2096
ECONOMY BRUSHED NICKEL	1992	1	619	84872.7192
ECONOMY BRUSHED NICKEL	1992	2	655	81560.3075
ECONOMY BRUSHED NICKEL	1992	3	614	79619.0856
ECONOMY BRUSHED NICKEL	1992	4	604	81678.0117
ECONOMY BRUSHED NICKEL	1993	1	634	82061.7909
ECONOMY BRUSHED NICKEL	1993	2	670	84481.2579
ECONOMY BRUSHED NICKEL	1993	3	598	82496.8148
ECONOMY BRUSHED NICKEL	1993	4	607	78806.791
ECONOMY BRUSHED NICKEL	1994	1	587	84094.7027
ECONOMY BRUSHED NICKEL	1994	2	648	85353.5353
ECONOMY BRUSHED NICKEL	1994	3	572	83334.2839
ECONOMY BRUSHED NICKEL	1994	4	620	85468.3938
ECONOMY BRUSHED NICKEL	1995	1	592	86701.4962
ECONOMY BRUSHED NICKEL	1995	2	641	87234.1278
ECONOMY BRUSHED NICKEL	1995	3	630	82796.1963
ECONOMY BRUSHED NICKEL	1995	4	644	81633.4405
ECONOMY BRUSHED NICKEL	1996	1	629	81342.3912
ECONOMY BRUSHED NICKEL	1996	2	622	79776.8217
ECONOMY BRUSHED NICKEL	1996	3	633	82006.3738
ECONOMY BRUSHED NICKEL	1996	4	585	86231.9335
ECONOMY BRUSHED NICKEL	1997	1	620	82798.3264
ECONOMY BRUSHED NICKEL	1997	2	561	85917.1939
ECONOMY BRUSHED NICKEL	1997	3	578	85305.4676
ECONOMY BRUSHED NICKEL	1997	4	600	81733.7477
ECONOMY BRUSHED NICKEL	1998	1	573	83218.6663
ECONOMY BRUSHED NICKEL	1998	2	641	84954.4233
ECONOMY BRUSHED NICKEL	1998	3	225	86232.0208
ECONOMY BRUSHED STEEL	1992	1	625	79287.2155
ECONOMY BRUSHED STEEL	1992	2	617	80171.6647
ECONOMY BRUSHED STEEL	1992	3	594	85541.5965
ECONOMY BRUSHED STEEL	1992	4	576	81949.1972
ECONOMY BRUSHED STEEL	1993	1	620	82207.25
ECONOMY BRUSHED STEEL	1993	2	621	83395.4494
ECONOMY BRUSHED STEEL	1993	3	601	80727.3638
ECONOMY BRUSHED STEEL	1993	4	598	84221.1647
ECONOMY BRUSHED STEEL	1994	1	603	83527.9395
ECONOMY BRUSHED STEEL	1994	2	626	81908.8344
ECONOMY BRUSHED STEEL	1994	3	591	82965.7238
ECONOMY BRUSHED STEEL	1994	4	598	81348.3528
ECONOMY BRUSHED STEEL	1995	1	598	82001.5695
ECONOMY BRUSHED STEEL	1995	2	570	83174.1882
ECONOMY BRUSHED STEEL	1995	3	627	83255.5858
ECONOMY BRUSHED STEEL	1995	4	602	82325.5895
ECONOMY BRUSHED STEEL	1996	1	596	84552.4902
ECONOMY BRUSHED STEEL	1996	2	580	79896.9109
ECONOMY BRUSHED STEEL	1996	3	619	83908.4967
ECONOMY BRUSHED STEEL	1996	4	601	79862.1325
ECONOMY BRUSHED STEEL	1997	1	567	83968.3398
ECONOMY BRUSHED STEEL	1997	2	586	81509.8759
ECONOMY BRUSHED STEEL	1997	3	604	83381.3838
ECONOMY BRUSHED STEEL	1997	4	580	84490.5258
ECONOMY BRUSHED STEEL	1998	1	625	82477.5478
ECONOMY BRUSHED STEEL	1998	2	643	82297.1862
ECONOMY BRUSHED STEEL	1998	3	224	85226.0418
ECONOMY BRUSHED TIN	1992	1	652	85413.4122
ECONOMY BRUSHED TIN	1992	2	584	81549.8946
ECONOMY BRUSHED TIN	1992	3	584	85763.3514
ECONOMY BRUSHED TIN	1992	4	594	84917.2355
ECONOMY BRUSHED TIN	1993	1	662	83283.6907
ECONOMY BRUSHED TIN	1993	2	649	84265.3071
ECONOMY BRUSHED TIN	1993	3	658	79734.1967
ECONOMY BRUSHED TIN	1993	4	596	84804.0355
ECONOMY BRUSHED TIN	1994	1	625	82949.1087
ECONOMY BRUSHED TIN	1994	2	635	84682.6974
ECONOMY BRUSHED TIN	1994	3	601	80581.2803
ECONOMY BRUSHED TIN	1994	4	572	86382.4974
ECONOMY BRUSHED TIN	1995	1	585	82929.1276
ECONOMY BRUSHED TIN	1995	2	562	83561.4508
ECONOMY BRUSHED TIN	1995	3	617	86111.9534
ECONOMY BRUSHED TIN	1995	4	644	84561.9116
ECONOMY BRUSHED TIN	1996	1	564	85128.12
ECONOMY BRUSHED TIN	1996	2	587	82454.4927
ECONOMY BRUSHED TIN	1996	3	610	82311.7294
ECONOMY BRUSHED TIN	1996	4	553	83619.1929
ECONOMY BRUSHED TIN	1997	1	614	85801.6164
ECONOMY BRUSHED TIN	1997	2	576	83964.5452
ECONOMY BRUSHED TIN	1997	3	646	85634.2186
ECONOMY BRUSHED TIN	1997	4	594	82948.1359
ECONOMY BRUSHED TIN	1998	1	625	85688.2862
ECONOMY BRUSHED TIN	1998	2	605	82623.8288
ECONOMY BRUSHED TIN	1998	3	221	82194.3012
ECONOMY BURNISHED BRASS	1992	1	645	88933.9249
ECONOMY BURNISHED BRASS	1992	2	583	88144.478
ECONOMY BURNISHED BRASS	1992	3	624	79214.8757
ECONOMY BURNISHED BRASS	1992	4	627	86932.6151
ECONOMY BURNISHED BRASS	1993	1	635	79856.3475
ECONOMY BURNISHED BRASS	1993	2	606	89793.1197
ECONOMY BURNISHED BRASS	1993	3	592	83949.4324
ECONOMY BURNISHED BRASS	1993	4	667	83370.6913
ECONOMY BURNISHED BRASS	1994	1	613	82202.8151
ECONOMY BURNISHED BRASS	1994	2	600	85519.2077
ECONOMY BURNISHED BRASS	1994	3	617	80118.106
ECONOMY BURNISHED BRASS	1994	4	604	78990.9162
ECONOMY BURNISHED BRASS	1995	1	570	81296.6446
ECONOMY BURNISHED BRASS	1995	2	659	87981.7734
ECONOMY BURNISHED BRASS	1995	3	651	83773.9227
ECONOMY BURNISHED BRASS	1995	4	587	82551.213
ECONOMY BURNISHED BRASS	1996	1	631	82825.305
ECONOMY BURNISHED BRASS	1996	2	580	80691.6063
ECONOMY BURNISHED BRASS	1996	3	615	81297.8513
ECONOMY BURNISHED BRASS	1996	4	618	86510.5598
ECONOMY BURNISHED BRASS	1997	1	587	83786.6182
ECONOMY BURNISHED BRASS	1997	2	597	85525.2228
ECONOMY BURNISHED BRASS	1997	3	607	85144.089
ECONOMY BURNISHED BRASS	1997	4	617	83054.2427
ECONOMY BURNISHED BRASS	1998	1	619	80934.3161
ECONOMY BURNISHED BRASS	1998	2	620	84765.8887
ECONOMY BURNISHED BRASS	1998	3	259	80320.8854
ECONOMY BURNISHED COPPER	1992	1	614	79317.8998
ECONOMY BURNISHED COPPER	1992	2	603	83901.858
ECONOMY BURNISHED COPPER	1992	3	580	83957.3027
ECONOMY BURNISHED COPPER	1992	4	603	82663.6917
ECONOMY BURNISHED COPPER	1993	1	587	80400.791
ECONOMY BURNISHED COPPER	1993	2	619	84462.6046
ECONOMY BURNISHED COPPER	1993	3	617	82381.8697
ECONOMY BURNISHED COPPER	1993	4	568	81946.2313
ECONOMY BURNISHED COPPER	1994	1	616	83954.149
ECONOMY BURNISHED COPPER	1994	2	597	86426.686
ECONOMY BURNISHED COPPER	1994	3	585	86048.7209
ECONOMY BURNISHED COPPER	1994	4	597	84228.6008
ECONOMY BURNISHED COPPER	1995	1	559	81577.7625
ECONOMY BURNISHED COPPER	1995	2	564	87747.8808
ECONOMY BURNISHED COPPER	1995	3	613	83567.6792
ECONOMY BURNISHED COPPER	1995	4	602	83260.1595
ECONOMY BURNISHED COPPER	1996	1	603	82393.5877
ECONOMY BURNISHED COPPER	1996	2	571	84146.0284
ECONOMY BURNISHED COPPER	1996	3	649	81550.5652
ECONOMY BURNISHED COPPER	1996	4	644	81849.1498
ECONOMY BURNISHED COPPER	1997	1	580	80397.6879
ECONOMY BURNISHED COPPER	1997	2	592	81558.5796
ECONOMY BURNISHED COPPER	1997	3	605	82921.3463
ECONOMY BURNISHED COPPER	1997	4	615	82934.4702
ECONOMY BURNISHED COPPER	1998	1	602	82819.6153
ECONOMY BURNISHED COPPER	1998	2	581	83929.903
ECONOMY BURNISHED COPPER	1998	3	181	90721.2125
ECONOMY BURNISHED NICKEL	1992	1	625	81392.5119
ECONOMY BURNISHED NICKEL	1992	2	605	82694.8316
ECONOMY BURNISHED NICKEL	1992	3	608	79310.3701
ECONOMY BURNISHED NICKEL	1992	4	591	80804.3234
ECONOMY BURNISHED NICKEL	1993	1	636	80234.7346
ECONOMY BURNISHED NICKEL	1993	2	597	82897.2854
ECONOMY BURNISHED NICKEL	1993	3	622	82418.5625
ECONOMY BURNISHED NICKEL	1993	4	608	81883.0299
ECONOMY BURNISHED NICKEL	1994	1	595	84433.6142
ECONOMY BURNISHED NICKEL	1994	2	641	83848.7422
ECONOMY BURNISHED NICKEL	1994	3	594	82617.3314
ECONOMY BURNISHED NICKEL	1994	4	600	81243.3466
ECONOMY BURNISHED NICKEL	1995	1	577	86710.87
ECONOMY BURNISHED NICKEL	1995	2	626	84741.8354
ECONOMY BURNISHED NICKEL	1995	3	613	79529.2508
ECONOMY BURNISHED NICKEL	1995	4	607	83830.8818
ECONOMY BURNISHED NICKEL	1996	1	574	85215.0986
ECONOMY BURNISHED NICKEL	1996	2	560	81108.1679
ECONOMY BURNISHED NICKEL	1996	3	597	82743.3725
ECONOMY BURNISHED NICKEL	1996	4	572	85116.2397
ECONOMY BURNISHED NICKEL	1997	1	605	81820.8797
ECONOMY BURNISHED NICKEL	1997	2	581	88159.7736
ECONOMY BURNISHED NICKEL	1997	3	590	84435.6282
ECONOMY BURNISHED NICKEL	1997	4	619	79417.5986
ECONOMY BURNISHED NICKEL	1998	1	594	89417.3821
ECONOMY BURNISHED NICKEL	1998	2	555	82862.819
ECONOMY BURNISHED NICKEL	1998	3	225	81091.7923
ECONOMY BURNISHED STEEL	1992	1	631	82190.7741
ECONOMY BURNISHED STEEL	1992	2	669	84436.7625
ECONOMY BURNISHED STEEL	1992	3	585	85651.0855
ECONOMY BURNISHED STEEL	1992	4	654	83704.6897
ECONOMY BURNISHED STEEL	1993	1	599	80744.2776
ECONOMY BURNISHED STEEL	1993	2	616	83167.4331
ECONOMY BURNISHED STEEL	1993	3	602	84958.6403
ECONOMY BURNISHED STEEL	1993	4	604	82187.7892
ECONOMY BURNISHED STEEL	1994	1	654	80819.8618
ECONOMY BURNISHED STEEL	1994	2	611	82804.3029
ECONOMY BURNISHED STEEL	1994	3	618	84524.6769
ECONOMY BURNISHED STEEL	1994	4	604	82512.0581
ECONOMY BURNISHED STEEL	1995	1	620	81315.6721
ECONOMY BURNISHED STEEL	1995	2	630	80894.245
ECONOMY BURNISHED STEEL	1995	3	664	81979.4007
ECONOMY BURNISHED STEEL	1995	4	601	84024.4614
ECONOMY BURNISHED STEEL	1996	1	609	83714.8919
ECONOMY BURNISHED STEEL	1996	2	636	80529.7431
ECONOMY BURNISHED STEEL	1996	3	591	84131.7875
ECONOMY BURNISHED STEEL	1996	4	564	82841.9074
ECONOMY BURNISHED STEEL	1997	1	587	84496.2493
ECONOMY BURNISHED STEEL	1997	2	612	80595.781
ECONOMY BURNISHED STEEL	1997	3	648	84351.189
ECONOMY BURNISHED STEEL	1997	4	637	83519.5899
ECONOMY BURNISHED STEEL	1998	1	582	81495.5445
ECONOMY BURNISHED STEEL	1998	2	583	84002.6949
ECONOMY BURNISHED STEEL	1998	3	210	89429.7317
ECONOMY BURNISHED TIN	1992	1	628	80838.7646
ECONOMY BURNISHED TIN	1992	2	646	86434.6337
ECONOMY BURNISHED TIN	1992	3	655	86388.5147
ECONOMY BURNISHED TIN	1992	4	632	86184.7328
ECONOMY BURNISHED TIN	1993	1	640	81748.249
ECONOMY BURNISHED TIN	1993	2	559	82205.1189
ECONOMY BURNISHED TIN	1993	3	646	84797.9885
ECONOMY BURNISHED TIN	1993	4	607	86400.1423
ECONOMY BURNISHED TIN	1994	1	568	82562.0172
ECONOMY BURNISHED TIN	1994	2	600	83416.3955
ECONOMY BURNISHED TIN	1994	3	626	83126.4324
ECONOMY BURNISHED TIN	1994	4	622	82502.9976
ECONOMY BURNISHED TIN	1995	1	574	84189.7962
ECONOMY BURNISHED TIN	1995	2	608	86213.9532
ECONOMY BURNISHED TIN	1995	3	625	84167.5937
ECONOMY BURNISHED TIN	1995	4	593	85176.3084
ECONOMY BURNISHED TIN	1996	1	625	84497.3237
ECONOMY BURNISHED TIN	1996	2	601	82847.9414
ECONOMY BURNISHED TIN	1996	3	630	84601.2139
ECONOMY BURNISHED TIN	1996	4	651	79846.5319
ECONOMY BURNISHED TIN	1997	1	623	83176.8662
ECONOMY BURNISHED TIN	1997	2	639	82911.1025
ECONOMY BURNISHED TIN	1997	3	590	83065.5726
ECONOMY BURNISHED TIN	1997	4	591	86730.9485
ECONOMY BURNISHED TIN	1998	1	630	83693.887
ECONOMY BURNISHED TIN	1998	2	599	84113.534
ECONOMY BURNISHED TIN	1998	3	245	90554.6276
ECONOMY PLATED BRASS	1992	1	638	83681.9999
ECONOMY PLATED BRASS	1992	2	604	85639.142
ECONOMY PLATED BRASS	1992	3	624	79298.938
ECONOMY PLATED BRASS	1992	4	617	83737.347
ECONOMY PLATED BRASS	1993	1	628	83520.5606
ECONOMY PLATED BRASS	1993	2	570	82741.6972
ECONOMY PLATED BRASS	1993	3	600	85606.3338
ECONOMY PLATED BRASS	1993	4	636	81050.4809
ECONOMY PLATED BRASS	1994	1	651	84523.6582
ECONOMY PLATED BRASS	1994	2	631	85280.8884
ECONOMY PLATED BRASS	1994	3	629	84600.0772
ECONOMY PLATED BRASS	1994	4	590	82738.7197
ECONOMY PLATED BRASS	1995	1	543	83153.6514
ECONOMY PLATED BRASS	1995	2	627	85746.8193
ECONOMY PLATED BRASS	1995	3	597	83232.6356
ECONOMY PLATED BRASS	1995	4	571	82384.8481
ECONOMY PLATED BRASS	1996	1	571	83754.3284
ECONOMY PLATED BRASS	1996	2	581	83520.5448
ECONOMY PLATED BRASS	1996	3	607	81882.4369
ECONOMY PLATED BRASS	1996	4	598	85066.0541
ECONOMY PLATED BRASS	1997	1	578	83521.2779
ECONOMY PLATED BRASS	1997	2	632	84938.4407
ECONOMY PLATED BRASS	1997	3	644	79900.4174
ECONOMY PLATED BRASS	1997	4	666	84319.7144
ECONOMY PLATED BRASS	1998	1	596	86735.2652
ECONOMY PLATED BRASS	1998	2	599	84053.6514
ECONOMY PLATED BRASS	1998	3	227	88423.4727
ECONOMY PLATED COPPER	1992	1	625	84324.3048
ECONOMY PLATED COPPER	1992	2	630	87789.8002
ECONOMY PLATED COPPER	1992	3	608	85949.1651
ECONOMY PLATED COPPER	1992	4	649	85383.9186
ECONOMY PLATED COPPER	1993	1	618	84215.8705
ECONOMY PLATED COPPER	1993	2	602	82334.8125
ECONOMY PLATED COPPER	1993	3	601	82144.1105
ECONOMY PLATED COPPER	1993	4	629	79902.1711
ECONOMY PLATED COPPER	1994	1	583	79718.8302
ECONOMY PLATED COPPER	1994	2	655	85272.4049
ECONOMY PLATED COPPER	1994	3	634	81588.8294
ECONOMY PLATED COPPER	1994	4	606	86257.4453
ECONOMY PLATED COPPER	1995	1	615	83901.2912
ECONOMY PLATED COPPER	1995	2	604	80984.4904
ECONOMY PLATED COPPER	1995	3	674	86074.6101
ECONOMY PLATED COPPER	1995	4	635	82884.4721
ECONOMY PLATED COPPER	1996	1	622	83245.2359
ECONOMY PLATED COPPER	1996	2	558	81693.8261
ECONOMY PLATED COPPER	1996	3	609	82313.5654
ECONOMY PLATED COPPER	1996	4	562	81442.0478
ECONOMY PLATED COPPER	1997	1	572	82355.8996
ECONOMY PLATED COPPER	1997	2	622	85407.0101
ECONOMY PLATED COPPER	1997	3	622	83811.3655
ECONOMY PLATED COPPER	1997	4	615	82241.1345
ECONOMY PLATED COPPER	1998	1	583	85041.1216
ECONOMY PLATED COPPER	1998	2	555	80600.1467
ECONOMY PLATED COPPER	1998	3	238	77527.2023
ECONOMY PLATED NICKEL	1992	1	560	85063.1142
ECONOMY PLATED NICKEL	1992	2	640	82556.4062
ECONOMY PLATED NICKEL	1992	3	650	82634.4812
ECONOMY PLATED NICKEL	1992	4	595	83447.9889
ECONOMY PLATED NICKEL	1993	1	635	82535.2282
ECONOMY PLATED NICKEL	1993	2	678	83139.3503
ECONOMY PLATED NICKEL	1993	3	643	80578.2363
ECONOMY PLATED NICKEL	1993	4	630	81021.2291
ECONOMY PLATED NICKEL	1994	1	572	84562.1202
ECONOMY PLATED NICKEL	1994	2	618	85261.4037
ECONOMY PLATED NICKEL	1994	3	608	82416.2585
