nation_id	nation_name	supplier_id	supplier_name	order_year	total_quantity	ranking
22	RUSSIA                   	13811	Supplier#000013811       	1996	144134.0	1
22	RUSSIA                   	41664	Supplier#000041664       	1996	635.0	2
22	RUSSIA                   	53535	Supplier#000053535       	1996	627.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1997	145032.0	1
22	RUSSIA                   	81519	Supplier#000081519       	1997	638.0	2
22	RUSSIA                   	61028	Supplier#000061028       	1997	619.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1998	88690.0	1
22	RUSSIA                   	34628	Supplier#000034628       	1998	528.0	2
22	RUSSIA                   	47264	Supplier#000047264       	1998	489.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1992	163330.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1992	104879.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1992	90732.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1993	157915.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1993	108725.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1993	91911.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1994	168756.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1994	103044.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1994	87097.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1995	168668.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1995	114058.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1995	86689.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1996	167608.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1996	109316.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1996	88337.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1997	160236.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1997	104487.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1997	90467.0	3
23	UNITED KINGDOM           	45095	Supplier#000045095       	1998	100192.0	1
23	UNITED KINGDOM           	97985	Supplier#000097985       	1998	64300.0	2
23	UNITED KINGDOM           	37560	Supplier#000037560       	1998	52240.0	3
