region_id	region_name	order_year	market_segment	num_orders	pct_of_total
2	ASIA                     	1998	MACHINERY 	7311	20.05
2	ASIA                     	1998	AUTOMOBILE	7300	20.02
2	ASIA                     	1998	HOUSEHOLD 	7236	19.85
2	ASIA                     	1998	FURNITURE 	7209	19.77
3	EUROPE                   	1992	AUTOMOBILE	11489	100.0
3	EUROPE                   	1993	BUILDING  	69317	45.56
3	EUROPE                   	1993	AUTOMOBILE	65612	43.13
3	EUROPE                   	1993	MACHINERY 	17210	11.31
3	EUROPE                   	1994	AUTOMOBILE	49565	93.13
3	EUROPE                   	1994	BUILDING  	3655	6.87
3	EUROPE                   	1994	HOUSEHOLD 	1	0.0
3	EUROPE                   	1994	FURNITURE 	1	0.0
3	EUROPE                   	1995	FURNITURE 	13768	47.62
3	EUROPE                   	1995	HOUSEHOLD 	11014	38.09
3	EUROPE                   	1995	AUTOMOBILE	4130	14.28
3	EUROPE                   	1996	BUILDING  	68205	67.23
3	EUROPE                   	1996	FURNITURE 	30346	29.91
3	EUROPE                   	1996	MACHINERY 	1434	1.41
3	EUROPE                   	1996	AUTOMOBILE	774	0.76
3	EUROPE                   	1996	HOUSEHOLD 	697	0.69
3	EUROPE                   	1997	AUTOMOBILE	12581	20.32
3	EUROPE                   	1997	MACHINERY 	12433	20.08
3	EUROPE                   	1997	HOUSEHOLD 	12411	20.05
3	EUROPE                   	1997	FURNITURE 	12319	19.9
3	EUROPE                   	1997	BUILDING  	12161	19.64
3	EUROPE                   	1998	FURNITURE 	7369	20.31
3	EUROPE                   	1998	MACHINERY 	7319	20.17
3	EUROPE                   	1998	AUTOMOBILE	7281	20.07
3	EUROPE                   	1998	BUILDING  	7207	19.86
3	EUROPE                   	1998	HOUSEHOLD 	7111	19.6
4	MIDDLE EAST              	1992	FURNITURE 	68152	100.0
4	MIDDLE EAST              	1992	BUILDING  	1	0.0
4	MIDDLE EAST              	1993	MACHINERY 	69531	90.18
4	MIDDLE EAST              	1993	HOUSEHOLD 	7572	9.82
4	MIDDLE EAST              	1994	FURNITURE 	46125	50.37
4	MIDDLE EAST              	1994	AUTOMOBILE	45434	49.62
4	MIDDLE EAST              	1994	MACHINERY 	5	0.01
4	MIDDLE EAST              	1995	BUILDING  	15833	60.53
4	MIDDLE EAST              	1995	FURNITURE 	10326	39.47
4	MIDDLE EAST              	1996	BUILDING  	48325	73.58
4	MIDDLE EAST              	1996	MACHINERY 	15150	23.07
4	MIDDLE EAST              	1996	AUTOMOBILE	764	1.16
4	MIDDLE EAST              	1996	HOUSEHOLD 	738	1.12
4	MIDDLE EAST              	1996	FURNITURE 	698	1.06
4	MIDDLE EAST              	1997	HOUSEHOLD 	12282	20.1
4	MIDDLE EAST              	1997	BUILDING  	12269	20.08
4	MIDDLE EAST              	1997	FURNITURE 	12243	20.04
4	MIDDLE EAST              	1997	AUTOMOBILE	12231	20.02
4	MIDDLE EAST              	1997	MACHINERY 	12069	19.75
4	MIDDLE EAST              	1998	BUILDING  	7285	20.25
4	MIDDLE EAST              	1998	HOUSEHOLD 	7274	20.22
4	MIDDLE EAST              	1998	FURNITURE 	7228	20.09
4	MIDDLE EAST              	1998	AUTOMOBILE	7149	19.87
4	MIDDLE EAST              	1998	MACHINERY 	7039	19.57
